,,mean,mean,mean,mean,std,std,std,std
,,acc,brier,loss,time,acc,brier,loss,time
dataset,method,,,,,,,,
abalone,None,0.640384558235,0.213125081529,0.612320404901,1.17441819333,0.00998067455637,0.00437264442288,0.0110556262426,0.0145372278724
abalone,beta,0.642180338943,0.212857065513,0.611824735117,0.0267916320282,0.00775993360526,0.00385433636056,0.00981617168611,0.000906221872134
abalone,beta05,0.63940449572,0.212908780284,0.611816641517,0.0252713946049,0.00924316143262,0.00400285999445,0.0103452506861,0.000763718309826
abalone,beta2,0.642325111053,0.213026075566,0.612319033923,0.025102420417,0.00862835546187,0.003883056874,0.00950690218597,0.000963722822175
abalone,isotonic,0.628150878666,0.213872634328,0.621156623376,0.0244685003678,0.0200395952257,0.00468487918446,0.0204943296197,0.00109962305197
abalone,sigmoid,0.641702097468,0.213571337932,0.613812897803,0.024950924548,0.00887222048349,0.00388507325934,0.00902800450787,0.000834343271455
autos,None,0.912329264146,0.0718996489287,0.417518902174,1.00575964147,0.0458078736148,0.0268616580171,0.335792551078,0.0112747869456
autos,beta,0.910717486651,0.0765096620961,0.283491730797,0.0155575340826,0.0464884273947,0.0223035635063,0.0792003925705,0.000546562904826
autos,beta05,0.917398929093,0.077392270562,0.287072846572,0.0145923504558,0.0454515196306,0.0211910638933,0.0714755903315,0.000210523114081
autos,beta2,0.909888679291,0.0799880659329,0.293896428726,0.0147912899198,0.0428080969641,0.0204412597828,0.0696522530721,0.000967825997357
autos,isotonic,0.914012711192,0.0707818571053,0.437470243388,0.014425572604,0.0476724610177,0.022575765401,0.481457283419,0.000367229223639
autos,sigmoid,0.912857892707,0.0803813880205,0.288672651925,0.0148820957561,0.0455541318748,0.0226056457787,0.0617503388732,0.0014388825629
balance-scale,None,0.986056598354,0.0130521347409,0.0492396212863,1.04371323789,0.0112231400154,0.00510572648356,0.0131312153718,0.0122281109939
balance-scale,beta,0.987028336643,0.0104402044878,0.0367179072055,0.0162333384649,0.0110882888535,0.00601878186569,0.0175822484169,0.00016935635541
balance-scale,beta05,0.986715996653,0.0104561636284,0.0376691523976,0.015823578112,0.0101734692293,0.00605663826201,0.0178243519029,0.000993461159059
