,mean,mean,mean,mean,std,std,std,std
,time,time,time,time,time,time,time,time
method,None,beta2,isotonic,sigmoid,None,beta2,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.00131356630916,0.00258383537743,0.0019515471853,0.00240539162861,0.000302382522122,6.56700844417e-05,5.72565176732e-05,0.000103779275341
autos,0.000628394998379,0.00141361591488,0.00129442534339,0.00131314551581,2.55265967305e-05,5.12836817805e-05,0.000970147403151,6.1483394051e-05
balance-scale,0.00079236756128,0.00158771830793,0.00121336959682,0.00149743931852,0.00089721712044,5.41179369695e-05,4.45317133295e-05,5.84761146558e-05
car,0.000844768307077,0.00190691914267,0.00140468346419,0.00176734233078,3.08863232306e-05,7.86289467629e-05,4.60807207826e-05,6.54467336926e-05
cleveland,0.000646181214827,0.00142195309694,0.00116394861532,0.00134547818204,4.93235115884e-05,4.39789680125e-05,5.55911313375e-05,8.5541142795e-05
credit-approval,0.000731585159334,0.0016067942731,0.00125754605635,0.00146633140042,3.72354898777e-05,6.61314799457e-05,2.68371227231e-05,3.73587298484e-05
dermatology,0.000707025196285,0.00160157711979,0.00123692034006,0.00150058671593,1.74032757832e-05,4.71173791342e-05,2.42217352546e-05,6.6407484921e-05
diabetes,0.000725629051843,0.0017004840834,0.0012742751578,0.00148620789928,3.10591094888e-05,0.000743408706297,3.43328266322e-05,3.8530734393e-05
ecoli,0.000640389319373,0.00156488257129,0.00118130377517,0.00176288807923,0.000115697472366,0.000316358861484,6.89344728885e-05,0.000933834406766
flare,0.000851699423549,0.0020080019158,0.00144229144216,0.00174558081456,3.77435425274e-05,0.000129355344724,0.000147876213278,0.000164684853031
german,0.000830293700073,0.00171339183387,0.00137577530319,0.00161985939344,2.19396878693e-05,5.38071306238e-05,3.39901300068e-05,4.5836522361e-05
glass,0.000593226253399,0.00138286036845,0.00111753134568,0.00127980705085,1.97336949566e-05,4.10783052761e-05,3.38595813722e-05,5.0147291995e-05
heart-statlog,0.000646831220814,0.00145797027078,0.00117897743795,0.00135451668634,6.34772709864e-05,0.000148294469363,0.000100181299828,0.000109417594626
hepatitis,0.000613304596227,0.00142511759977,0.00115494774294,0.00135115376063,2.34809508602e-05,4.24565333834e-05,3.37506193573e-05,6.8118546378e-05
