,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.621247800272,0.631349843272,0.621691588622,0.00765680728225,0.00802891956232,0.00766502838108
autos,0.529147612894,0.544570679446,0.549019869497,0.0433657579575,0.0520552402646,0.0412747818103
balance-scale,0.117487077444,0.122214724687,0.11852375508,0.0325781211447,0.0336145597837,0.0320315535481
car,0.382150217068,0.388985619612,0.382031489261,0.0223670614423,0.019186067602,0.0225804570232
cleveland,0.414964234597,0.411927205153,0.414166956574,0.074457396527,0.0733818148979,0.073247526196
credit-approval,0.389542478426,0.416050312727,0.40878495146,0.0509503811158,0.0505417562809,0.0585163888805
dermatology,0.0597614413823,0.0600596116355,0.0573478675166,0.0465570696063,0.045544857383,0.0423264799271
diabetes,0.501829602544,0.502224284427,0.528312666123,0.032056341879,0.0311127714822,0.0424669267028
ecoli,0.125970057117,0.444694330203,0.12537191637,0.075452499098,0.064567059127,0.0755425090378
flare,0.421239418887,0.582143281566,0.439461849597,0.0233231420044,0.0226039831374,0.0289198474269
german,0.53587427961,0.564427650972,0.560587148202,0.025662776811,0.0454831052763,0.0226849999303
glass,0.598712095544,0.608830925203,0.590801768886,0.0531745920106,0.0513932500385,0.0518928544213
heart-statlog,0.396818504865,0.395023495017,0.394788460786,0.0787398484351,0.0768145843901,0.0765417317088
hepatitis,0.365366865957,0.503232363863,0.37722021131,0.103274044009,0.0831221073705,0.0904117792083
horse,0.481731517918,0.629473141644,0.519766976607,0.0520830595609,0.0562077466018,0.0460400159119
ionosphere,0.293027038158,0.293837998423,0.290592068166,0.0606904642676,0.0582154375211,0.059962586806
iris,0.000287085417112,0.000319470099739,0.000327200721569,0.00172606156051,0.00191676922997,0.00192060669177
landsat-satellite,0.180434157788,0.184149823554,0.183004561869,0.0158848475877,0.0157862456297,0.0159717229353
letter,0.0805382903815,0.0839505871204,0.0830184142475,0.00346262263147,0.00449885988211,0.00435501741991
libras-movement,0.124230454934,0.14019550148,0.126237560395,0.0647138229878,0.0599489352743,0.0566072791073
lung-cancer,0.163824259764,0.164102838142,0.1593707838,0.066915255375,0.0666985519626,0.0669685869806
mfeat-karhunen,0.055306012772,0.0560307092163,0.0601901150025,0.0192793655192,0.019200907846,0.0217373603952
mfeat-morphological,0.0127852568285,0.0127859205328,0.0127688235953,0.0173023300607,0.0173067152968,0.0169886718337
mfeat-zernike,0.0923926441854,0.135053083256,0.0965928834355,0.0218529333225,0.0158771970483,0.0212751977734
mushroom,0.257788270574,0.317501512648,0.308777626286,0.0148210948929,0.0166816352202,0.0223521544602
optdigits,0.239973963511,0.312977432229,0.24860283251,0.00999429252606,0.00634027846263,0.0106389229658
page-blocks,0.209556268488,0.209599189574,0.226848202718,0.0116319470776,0.0118011726833,0.0114158277658
pendigits,0.0762877112687,0.0766956829709,0.0766185680388,0.00561856151961,0.00552037052142,0.00562775767333
scene-classification,0.451761554842,0.479570653841,0.453163132004,0.0151385224612,0.0143176689765,0.0150735424664
segment,0.109596626849,0.238578491917,0.112594967709,0.0218166956626,0.0142899532897,0.0221780493581
shuttle,0.276425272444,0.276824112282,0.285343127291,0.00278913723546,0.00283741956645,0.00319368539878
sonar,0.53775232337,0.563264173212,0.561721647676,0.067550568763,0.067949099981,0.0703744926623
spambase,0.359067557476,0.391416953389,0.373367611758,0.0236906205484,0.0168841444015,0.019272636935
tic-tac,0.579237215832,0.586551885603,0.583048597818,0.0221273435152,0.0167803679454,0.0216248423726
vehicle,0.385890613138,0.393456041822,0.411992878123,0.0404150359493,0.04086385469,0.0411732450319
vowel,0.111645831061,0.113305603565,0.111418907759,0.0232670983628,0.0230949055101,0.0226721992267
waveform-5000,0.29085821897,0.302361525205,0.291533435638,0.0159517911121,0.0162840183232,0.0160791430539
wdbc,0.146197515093,0.14508439852,0.14399181822,0.0399208506857,0.0390081819164,0.0380933660723
wpbc,0.539377051762,0.592240004607,0.53324807001,0.0474350208248,0.0638098869815,0.0409339043563
yeast,0.549872052757,0.609997201954,0.575982766295,0.0180797475697,0.0292579489829,0.0215389175748
zoo,0.135638038254,0.135640241541,0.135778717672,0.197704151742,0.197703267009,0.197949099373
