,mean,mean,mean,std,std,std
,time,time,time,time,time,time
method,beta,beta05,beta2,beta,beta05,beta2
dataset,,,,,,
abalone,0.00425161112095,0.0022024243575,0.00203179392705,0.000202423654479,0.000146703433178,6.12160870755e-05
autos,0.00221332395954,0.00125184632109,0.00125357397301,0.000273502739217,7.08939377991e-05,8.07934156816e-05
balance-scale,0.0020381024224,0.00143515874299,0.00143203870625,8.95144974849e-05,7.0548508116e-05,5.02626855571e-05
car,0.00369631642373,0.0016471672923,0.00160384257157,0.000721665981431,4.46264363341e-05,5.80550127074e-05
cleveland,0.00186860779479,0.00127162708035,0.00128080587265,0.000158128472152,5.9978580403e-05,6.87871344849e-05
credit-approval,0.00220298883782,0.00139448879036,0.00139976069456,0.000809451056339,7.77884971346e-05,9.41890459343e-05
dermatology,0.00184453698501,0.00136511186546,0.00138623711424,4.37262398378e-05,6.78581643657e-05,7.23285285709e-05
diabetes,0.00214830266751,0.00145633530816,0.00138676738364,0.000229935764023,0.000588230913604,0.000101051761701
ecoli,0.00223510947925,0.00139314087975,0.0013506440635,0.000184906543439,0.000351089125043,7.99814895306e-05
flare,0.00222162695206,0.00162377385892,0.00158832791517,6.94069080753e-05,3.07244876635e-05,3.92129066128e-05
german,0.00209531678038,0.00143587375141,0.00143088579793,0.000167347103469,7.96607074956e-05,0.000106152137018
glass,0.00248894773169,0.00128543119028,0.00127577344496,0.00028169258986,0.0001036363691,9.2507729788e-05
heart-statlog,0.00185873452062,0.001251695793,0.0012669607096,0.000137515514449,5.84802833318e-05,5.78758943561e-05
hepatitis,0.00227800998446,0.00128567408787,0.0013054719526,0.000209958924438,6.71375809387e-05,7.43496086346e-05
horse,0.00192883613564,0.00126643386129,0.00127509948966,0.000204208537273,2.2106440363e-05,2.57171862257e-05
ionosphere,0.00223651554844,0.00129400444913,0.00127016627367,0.000183830189324,3.45389684595e-05,4.2476262995e-05
iris,0.00176121284586,0.00127451106167,0.00128593409093,6.69553724838e-05,4.91327304374e-05,4.02814911816e-05
landsat-satellite,0.00450328724266,0.00364092892936,0.00351483770763,0.000462425705088,0.000380589513131,0.000360234465483
letter,0.0173537162049,0.0152299119838,0.0137747501105,0.0016859100791,0.00163229685726,0.000905029475955
libras-movement,0.00264081004638,0.0015344901759,0.0015101388365,0.000352835779602,0.00015358126734,0.000144783710496
lung-cancer,0.00333674929461,0.00160584391092,0.0016807487404,0.000428647011698,0.00014768537515,0.000155125180111
mfeat-karhunen,0.00320679908007,0.00232670239998,0.00222685438203,0.000358120029766,0.000422730838256,0.000238213167291
mfeat-morphological,0.00294395993216,0.00204250879007,0.00206208428376,0.000560031601298,0.000168855338145,0.00038481690959
mfeat-zernike,0.00320569406705,0.00229068513373,0.00227535179526,0.000348425191507,0.000217003193497,0.000344636038504
mushroom,0.00673150321967,0.00475951683905,0.00422295262556,0.000719685315097,0.000414409355347,0.000416169570547
optdigits,0.00441800965946,0.00359947896755,0.00346786952294,0.000401785167343,0.000344769905007,0.000311087346713
page-blocks,0.0036462726765,0.00274615576065,0.00265178149138,0.000155371680158,7.51338937487e-05,7.22111649985e-05
pendigits,0.00725625097822,0.00600498966402,0.00568262692041,0.000576982636075,0.000542965451748,0.000463061064435
scene-classification,0.00316331356797,0.00241575344868,0.00245404232063,0.000344026028637,0.000228983977586,0.00021655205543
segment,0.00316490779727,0.00222684411876,0.00209777654619,0.000271843900136,0.00033568584023,0.000118157644273
shuttle,0.0511519589606,0.0412495336623,0.0385404693911,0.00284506827511,0.00280270892239,0.00249391321127
sonar,0.0019009815971,0.00127928006521,0.00129023098365,0.000187671577896,9.94811658457e-05,8.31188301984e-05
spambase,0.00441428408927,0.00307482699961,0.00291685119187,0.000483206338683,0.000311072103554,0.00028594837124
tic-tac,0.00253575170391,0.00137423592028,0.00133833155009,0.000268837168281,4.47341021531e-05,3.95487207633e-05
vehicle,0.00240088195775,0.00144908943336,0.00143677349884,0.000214175382428,6.36525690829e-05,6.69798424049e-05
vowel,0.00215018084752,0.00146731701643,0.00145233605054,0.000196967326596,7.46753514586e-05,7.01378984763e-05
waveform-5000,0.00459280698108,0.00321719920254,0.00310382760429,0.000412176107941,0.000467111658848,0.00098547730953
wdbc,0.00209910050915,0.00143818298913,0.00141158741277,0.000158444646711,2.84085019647e-05,2.84389431168e-05
wpbc,0.00227304939973,0.00128014218062,0.00129501025045,0.000283552758021,4.97438315843e-05,4.08643582199e-05
yeast,0.00317109313327,0.0016360521614,0.00159503667839,0.000230981112184,5.40850774288e-05,4.7653268391e-05
zoo,0.00180383624255,0.0013025229705,0.00131778104492,3.22769476616e-05,5.00284410868e-05,5.04492087596e-05
