,,mean,mean,std,std
,,acc,loss,acc,loss
hepatitis,sigmoid,0.849323924731,0.372006342542,0.0492649735407,0.0816280371239
horse,None,0.815129943503,0.443179369862,0.0452466329506,0.0934167742456
horse,beta,0.815107159396,0.437857164882,0.041008086893,0.0558338533739
horse,beta05,0.817152542373,0.439374219284,0.0459096109546,0.056393821325
horse,beta2,0.813462906363,0.437783717147,0.0447518927709,0.0538516376431
horse,isotonic,0.814418449569,0.573286561123,0.0418549643924,0.296958055255
horse,sigmoid,0.814468370844,0.429909515562,0.0455760398219,0.0555541588575
ionosphere,None,0.884076458753,0.304339951546,0.03199870465,0.0640194747318
ionosphere,beta,0.882945674044,0.300093816844,0.0359888118926,0.0516869790954
ionosphere,beta05,0.884350100604,0.297721377834,0.0323945138695,0.049053163369
ionosphere,beta2,0.877267605634,0.312156314751,0.0378517330351,0.0551594530391
ionosphere,isotonic,0.880663983903,0.338710225213,0.0370837926667,0.15156802166
ionosphere,sigmoid,0.874418511066,0.304784773559,0.0386797745791,0.0522429738567
iris,None,1.0,0.0375481927384,0.0,0.0060847399277
iris,beta,1.0,0.000621703422941,0.0,0.001343196757
iris,beta05,1.0,0.000211628699446,0.0,0.000424374964577
iris,beta2,1.0,0.000474973314052,0.0,0.001031045779
iris,isotonic,1.0,0.00344517975711,0.0,0.00463699595233
iris,sigmoid,1.0,9.98833965171e-05,0.0,0.000223750333889
landsat-satellite,None,0.986947749683,0.0406941558514,0.00331370246929,0.0070056380789
landsat-satellite,beta,0.986901226271,0.0405896989624,0.00331365809614,0.00764958950345
landsat-satellite,beta05,0.986994527047,0.0405007284315,0.00331653722817,0.00758646419324
landsat-satellite,beta2,0.986979023415,0.0404584830424,0.00327035706007,0.0075857054176
landsat-satellite,isotonic,0.986885867534,0.0503541406661,0.00319067304076,0.0192810280807
landsat-satellite,sigmoid,0.986901153823,0.0473236903898,0.00313415419913,0.0100384556049
letter,None,0.976982836289,0.0695496841154,0.00118052322012,0.00292863111728
letter,beta,0.977094243794,0.0694031815376,0.0010774437169,0.00309964690986
letter,beta05,0.977025681228,0.0694494258861,0.00115836960198,0.00304635234756
