,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,sigmoid,None,beta,beta05,beta2,sigmoid
dataset,,,,,,,,,,
ionosphere,88.4076458753,88.2945674044,88.4350100604,87.7267605634,87.4418511066,3.199870465,3.59888118926,3.23945138695,3.78517330351,3.86797745791
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6947749683,98.6901226271,98.6994527047,98.6979023415,98.6901153823,0.331370246929,0.331365809614,0.331653722817,0.327035706007,0.313415419913
letter,97.6982836289,97.7094243794,97.7025681228,97.7108517258,97.7328630704,0.118052322012,0.10774437169,0.115836960198,0.109527196243,0.123652293213
libras-movement,97.9466666667,97.9733333333,98.0,98.04,98.04,1.33564425587,1.36333591138,1.29362644831,1.43117223571,1.43117223571
lung-cancer,33.2,93.3157894737,74.3526315789,93.1,90.2842105263,7.7491699792,5.99621113906,10.6403875517,5.93968068666,6.11196343325
mfeat-karhunen,99.14,99.19,99.13,99.195,99.2,0.420034012228,0.427259897964,0.426303523182,0.414316501319,0.428571428571
mfeat-morphological,99.85,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.455,99.455,99.455,99.455,99.465,0.348795302814,0.35243323293,0.348795302814,0.35243323293,0.353589465629
mushroom,96.528814916,96.8586717433,96.5202078623,96.5423571669,96.5534318201,0.399730133832,0.42028913984,0.39598953872,0.394008278703,0.388572972613
optdigits,98.8932545298,98.8932529117,98.8932624298,98.8986164119,98.884318067,0.280716640916,0.291447444381,0.28920835942,0.279368264833,0.278044326843
page-blocks,94.973429072,94.9533644026,94.9606353148,94.9679596465,94.9862495665,0.496814626404,0.558452016772,0.489881046719,0.485379115313,0.487587919963
pendigits,99.2822374548,99.30406763,99.2840535661,99.2904271315,99.3022486229,0.15562890154,0.160442354631,0.151668385282,0.159295662708,0.153540027485
scene-classification,80.7683780333,80.4572952341,81.2918820073,80.4490398993,81.0719561526,1.6161942251,0.867678067433,1.59535096846,0.942108853998,1.15537033775
segment,99.6493506494,99.645021645,99.645021645,99.6493506494,99.6406926407,0.243043458418,0.285952455701,0.250291977054,0.269176588656,0.271722050387
shuttle,96.842757469,97.6482750532,96.8431515189,96.836944928,96.8480778214,0.112530470262,0.0966152244268,0.113310088509,0.107556649005,0.110913852813
sonar,77.5238095238,76.6515139238,77.2776382249,76.9475731302,77.4772978959,5.65591371823,5.83011822999,6.49282707334,5.94658865586,5.98814924206
spambase,92.5493106679,92.8580208625,92.5623588875,92.4384716901,92.6232048951,0.843119805031,0.860474021757,0.808041824839,0.830932590694,0.86192741422
tic-tac,68.4131632667,67.8899257612,68.4436542626,67.1699106602,67.6500118118,2.08026784501,1.70999671743,2.22061102805,1.60844959154,1.84704597938
vehicle,95.2014009678,95.1313076047,95.1783605824,95.1662535956,95.1895699636,1.77624355853,1.64552485316,1.80531005553,1.70563481431,1.70420136601
vowel,94.1616161616,94.6565656566,94.1414141414,94.5757575758,94.7171717172,1.05625340025,1.13204359903,1.08465341835,1.13992547445,1.1687866309
waveform-5000,85.2198221178,85.4119042399,85.1998521119,85.1978561079,84.8018877359,1.10014771437,1.14998830678,1.08421214899,1.10880697458,1.14131339486
wdbc,97.7132743363,97.8356290881,97.7660638707,97.6775682955,97.6778761062,1.28031112602,1.14350911737,1.19431134074,1.30636597716,1.25552085998
wpbc,78.7727395412,79.3896761134,78.9309041835,79.021120108,79.2777327935,4.85523247564,3.67726732951,4.57519240043,3.69879291268,3.46780689496
yeast,67.8618326965,67.8889733195,67.6537075485,67.7611597123,67.7952188351,1.95719574813,2.03010232051,1.98567255138,2.18751805412,2.06444175497
zoo,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
