,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta05,beta2,isotonic,sigmoid,None,beta,beta05,beta2,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,63.4742882765,63.5245992067,63.3162127924,63.5294700406,63.4095514806,63.5270317723,1.12131005891,1.14022080273,1.13824521939,1.15213933839,1.0633964953,1.12650461879
autos,73.5016281459,73.9607204926,73.4989881062,75.358663865,74.5705721251,75.1836399228,6.04008496425,5.67936047206,5.84109951203,4.95583922026,6.00126347401,5.50550731069
balance-scale,95.2051690333,95.2051690333,95.2051690333,95.2051690333,95.1250296604,95.2051690333,1.52078048052,1.52078048052,1.52078048052,1.52078048052,1.46780343806,1.52078048052
car,71.713704799,71.5284984541,71.100282296,71.6905498051,71.8350584756,71.8756889367,1.94292590071,2.00161296689,1.79959483024,1.90393526299,1.6304542672,1.90374946744
cleveland,83.8124293785,83.8130138321,83.611299435,83.8124683421,83.7129943503,83.6429183713,4.60215423125,4.92042947918,4.66120761381,4.88786722643,4.75432372396,4.54752534976
credit-approval,86.7043434937,86.9199612093,86.7502642396,86.7957170056,86.674275343,86.8269506575,2.94364274577,2.96702583863,2.93747860656,2.98091576852,2.97441158286,3.01656162832
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,77.0576351753,76.7967914439,77.0705373058,77.0836940837,76.5755878109,77.0965962142,3.10052967575,3.19473102197,3.1063033816,3.10951816516,2.92694011331,3.04554531231
ecoli,96.2918751796,96.3529873837,96.2611059488,96.2624101694,95.9945660605,96.2922742181,2.48398594534,2.57302352039,2.46612402528,2.31848525445,2.49389627786,2.46504119875
flare,81.8109343864,81.7965195508,81.8391490025,81.818495751,82.1656156022,81.3124181446,1.31499841713,1.37819449168,1.34226931986,1.39741807431,1.31740512863,1.58728983621
german,75.89,75.25,75.85,75.34,75.61,75.36,1.66074116722,1.63897055794,1.65137543167,1.61131205252,1.7121713151,1.62894732504
glass,64.1091429243,63.2486157254,63.5062200074,63.7570606396,63.6946038458,63.1965049163,5.25393861494,3.57342098875,4.99619811765,3.39146608094,5.4583811503,3.81782437843
heart-statlog,83.962962963,84.0,84.1851851852,84.037037037,83.3703703704,84.1851851852,4.57618432812,4.6392190935,4.52388687703,4.50341950211,4.85635317669,4.53933102572
hepatitis,85.0701612903,84.4782258065,84.7451612903,84.8572580645,84.8615591398,84.9323924731,5.32922422483,4.47710627091,5.24506878582,4.68761118196,5.01979948706,4.92649735407
horse,81.5129943503,81.5107159396,81.7152542373,81.3462906363,81.4418449569,81.4468370844,4.52466329506,4.1008086893,4.59096109546,4.47518927709,4.18549643924,4.55760398219
ionosphere,88.4076458753,88.2945674044,88.4350100604,87.7267605634,88.0663983903,87.4418511066,3.199870465,3.59888118926,3.23945138695,3.78517330351,3.70837926667,3.86797745791
iris,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6947749683,98.6901226271,98.6994527047,98.6979023415,98.6885867534,98.6901153823,0.331370246929,0.331365809614,0.331653722817,0.327035706007,0.319067304076,0.313415419913
letter,97.6982836289,97.7094243794,97.7025681228,97.7108517258,97.7600078238,97.7328630704,0.118052322012,0.10774437169,0.115836960198,0.109527196243,0.131708902269,0.123652293213
libras-movement,97.9466666667,97.9733333333,98.0,98.04,98.18,98.04,1.33564425587,1.36333591138,1.29362644831,1.43117223571,1.37058505805,1.43117223571
lung-cancer,33.2,93.3157894737,74.3526315789,93.1,92.7947368421,90.2842105263,7.7491699792,5.99621113906,10.6403875517,5.93968068666,7.49033900164,6.11196343325
mfeat-karhunen,99.14,99.19,99.13,99.195,99.195,99.2,0.420034012228,0.427259897964,0.426303523182,0.414316501319,0.435333557313,0.428571428571
mfeat-morphological,99.85,99.85,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.455,99.455,99.455,99.455,99.46,99.465,0.348795302814,0.35243323293,0.348795302814,0.35243323293,0.351236881518,0.353589465629
mushroom,96.528814916,96.8586717433,96.5202078623,96.5423571669,96.8882389962,96.5534318201,0.399730133832,0.42028913984,0.39598953872,0.394008278703,0.412692097835,0.388572972613
optdigits,98.8932545298,98.8932529117,98.8932624298,98.8986164119,98.896821056,98.884318067,0.280716640916,0.291447444381,0.28920835942,0.279368264833,0.29341620202,0.278044326843
